ID;Name;Longitude_WGS84;Latitude_WGS84;AdmArea;District;RouteNumbers;StationName;Direction;Pavilion;OperatingOrgName;EntryState;global_id;PlaceDescription;Works;geodata_center;geoarea
Локальный идентификатор;Наименование;Долгота в WGS-84;Широта в WGS-84;Административный округ;Район;Маршруты;Название остановки;Направление;Наличие павильона;Балансодержатель павильона ожидания (пилона, табло, АПБ);Состояние записи;global_id;Описание места расположения объекта;Работы;geodata_center;geoarea
18177;«Храм преподобного Алексия», Рублёвское шоссе (от центра) (18177);37.40065697;55.75587341;Западный административный округ;район Крылатское;"А127; А129; А251; А358; А376; А626";Храм преподобного Алексия;от центра;да;ГУП «Мосгортранс»;активна;889142273;Рублёвское ш., д.52;;;
18194;«Алабушевская ул.», Алабушевская улица (в центр) (18194);37.16616338;56.00605425;Зеленоградский административный округ;район Силино;АЗ-3;Алабушевская ул.;в центр;да;ГУП «Мосгортранс»;активна;889142274;просп. Генерала Алексеева, д.17;;;
18195;«Алабушевская ул.», Алабушевская улица (от центра) (18195);37.16694992;56.00671317;Зеленоградский административный округ;район Силино;АЗ-3;Алабушевская ул.;от центра;да;ГУП «Мосгортранс»;активна;889142276;просп. Генерала Алексеева, д.15;;;
18196;«Садовое товарищество», Алабушевская улица (в центр) (18196);37.16288301;56.0012312;Зеленоградский административный округ;район Силино;АЗ-3;Садовое товарищество;в центр;да;ГУП «Мосгортранс»;активна;889142277;Алабушевская ул., д.19;;;
18197;«Садовое товарищество», Алабушевская улица (от центра) (18197);37.16330799;56.0016043;Зеленоградский административный округ;район Силино;АЗ-3;Садовое товарищество;от центра;да;ГУП «Мосгортранс»;активна;889142278;;;;
18219;«Уральская ул., 25», Камчатская улица (от центра) (18219);37.80877692;55.8235133;Восточный административный округ;район Гольяново;"А257; А557";Уральская ул., 25;от центра;да;ГУП «Мосгортранс»;активна;889142281;Уссурийская ул., д.1, к.1;;;
18223;«Красная пл.», улица Варварка (от центра) (18223);37.62620928;55.75245124;Центральный административный округ;Тверской район;"АМ90; АС920";Красная пл.;от центра;да;ГУП «Мосгортранс»;активна;889142282;ул. Варварка, д.2;;;
18248;«Ул. Марш. Прошлякова», улица Маршала Прошлякова (в центр) (18248);37.38189875;55.78925775;Северо-Западный административный округ;район Строгино;"А310; А654";Ул. Марш. Прошлякова;в центр;нет;;активна;889142284;ул. Маршала Прошлякова, д.23;;;
18254;«Пенягинская ул.», Волоцкой переулок (от центра) (18254);37.35154114;55.83750307;Северо-Западный административный округ;район Митино;АС3;Пенягинская ул.;от центра;нет;;активна;889142285;ул. Зенитчиков, д.2;;;
18255;«Ул. Зенитчиков», 1-й Пенягинский проезд (от центра) (18255);37.3485708;55.83349554;Северо-Западный административный округ;район Митино;АС3;Ул. Зенитчиков;от центра;нет;;активна;889142286;Волоцкой пер., д.3;;;
18256;«Ул. Зенитчиков», 1-й Пенягинский проезд (в центр) (18256);37.34933121;55.8337727;Северо-Западный административный округ;район Митино;АС3;Ул. Зенитчиков;в центр;нет;;активна;889142287;Волоцкой пер., д.7;;;
18257;«П-ка № 180», 1-й Пенягинский проезд (в центр) (18257);37.34972792;55.83224938;Северо-Западный административный округ;район Митино;АС3;П-ка № 180;в центр;да;ГУП «Мосгортранс»;активна;889142288;Уваровский пер., д.2;;;
